interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
10102100,Adult Education,3,,,
10102101,College Education,3,,"HOUSING,EMPLOYMENT,CREDIT",
10103101,Overseas Study for Undergraduate Education,3,,,
10103103,ESL Testing,3,,,
10104100,IT Training & Examinations,3,,"HOUSING,EMPLOYMENT,CREDIT",
10104101,Design Training & Education,3,,"HOUSING,EMPLOYMENT,CREDIT",
10104103,Chef Training & Examinations,3,,,
10104104,Enterprise Management Training,3,,,
10104105,Medical Licensing Training & Examinations,3,,"HOUSING,EMPLOYMENT,CREDIT",
10104108,Beauty Education,3,,,
10104109,Driving Schools & Pilot Training,3,,"HOUSING,EMPLOYMENT,CREDIT",
10104112,Marketing Management Education,3,,,
10105101,English Language Training,3,,"HOUSING,EMPLOYMENT,CREDIT",
10105104,Spanish Language Training,3,,"HOUSING,EMPLOYMENT,CREDIT",
10106100,Music & Instruments,3,,"HOUSING,EMPLOYMENT,CREDIT",
10106101,Calligraphy & Art,3,,"HOUSING,EMPLOYMENT,CREDIT",
10106102,Dance,3,,"HOUSING,EMPLOYMENT,CREDIT",
10106103,Sports,3,,"HOUSING,EMPLOYMENT,CREDIT",
11100100,Sedans,3,,,
11100101,SUVs,3,,,
11101100,Auto Decor,3,,"HOUSING,EMPLOYMENT,CREDIT",
11101101,Car Interior Accessories,3,,"HOUSING,EMPLOYMENT,CREDIT",
11101102,Car Seat Organizers,3,,"HOUSING,EMPLOYMENT,CREDIT",
11101103,Windshield Repair,3,,"HOUSING,EMPLOYMENT,CREDIT",
11102100,Car Modification,3,,,
11102101,Car Maintenance,3,,,
14100100,Teeth Cleaning,3,,,
14100101,Teeth Whitening,3,,,
14100102,Oral Care Kits,3,,,
14100103,Toothbrushes & Tools,3,,"HOUSING,EMPLOYMENT,CREDIT",
14101100,Shampoos,3,,,
14101101,Haircare Products,3,,,
14101102,Hair Growth Products,3,,"HOUSING,EMPLOYMENT,CREDIT",
14101103,Shampoo-Conditioning Sets,3,,"HOUSING,EMPLOYMENT,CREDIT",
14102100,Hair Dye Products,3,,"HOUSING,EMPLOYMENT,CREDIT",
14102102,Styling Products,3,,"HOUSING,EMPLOYMENT,CREDIT",
14102103,Hairstyling Tools,3,,"HOUSING,EMPLOYMENT,CREDIT",
14102104,Wigs & Accessories,3,,"HOUSING,EMPLOYMENT,CREDIT",
14103100,Body Care,3,,"HOUSING,EMPLOYMENT,CREDIT","14103100100,14103100101,14103100102,14103100103,14103100104,14103100105"
14103101,Facial Care,3,,"HOUSING,EMPLOYMENT,CREDIT","14103101100,14103101101,14103101102,14103101103,14103101104,14103101105,14103101106,14103101107"
14103102,Eye Care,3,,,
14103103,Lip Care,3,,,
14103105,Hand & Foot Care,3,,,
14104100,Face Makeup,3,,,"14104100100,14104100101,14104100102,14104100103"
14104101,Eyebrow Makeup,3,,,
14104102,Lip Makeup,3,,,
14104103,Eye Makeup,3,,,
14104104,Makeup Tools,3,,"HOUSING,EMPLOYMENT,CREDIT",
14104105,Tattoos,3,,,
14104107,Nail Art Products,3,,"HOUSING,EMPLOYMENT,CREDIT",
14104108,Makeup Sets,3,,"HOUSING,EMPLOYMENT,CREDIT",
14106100,Men's Fragrances & Perfumes,3,,,
14106101,Women's Fragrances & Perfumes,3,,,
15100100,Cell Phone Accessories,3,,"HOUSING,EMPLOYMENT,CREDIT",
15101102,Tablets,3,,"HOUSING,EMPLOYMENT,CREDIT",
15101103,Desktops,3,,"HOUSING,EMPLOYMENT,CREDIT",
15101104,Laptops,3,,"HOUSING,EMPLOYMENT,CREDIT",
16100100,Hair Dryers,3,,,
16100101,Curling Irons & Straighteners,3,,"HOUSING,EMPLOYMENT,CREDIT",
16100108,Electronic Scales,3,,"HOUSING,EMPLOYMENT,CREDIT",
16100110,Massagers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16100111,Hair Clippers,3,,,
16100113,Electric Combs,3,,"HOUSING,EMPLOYMENT,CREDIT",
16100114,Electric Ear Cleaners,3,,"HOUSING,EMPLOYMENT,CREDIT",
16100115,Pedicure Tools,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101100,Freezers & Ice Makers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101112,Heated Lunch Boxes,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101113,Slow Cookers,3,,,
16101115,Egg Cookers,3,,,
16101118,Multi-purpose Pots,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101119,Electric Grills,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101123,Blenders,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101125,Coffee Makers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16101129,Food Processors,3,,"HOUSING,EMPLOYMENT,CREDIT",
16102100,Refrigerators,3,,,
16102101,Air Conditioning,3,,,
16102102,TVs & Home Theaters,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104100,Vacuums,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104102,Air Purifiers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104104,Electric Irons,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104105,Water Purifiers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104106,Humidifiers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104107,Steam Cleaners,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104108,Robotic Vacuums,3,,,
16104112,Garment Steamers & Irons,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104113,Electric Fans,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104114,Vacuums & Dust Mite Controllers,3,,,
16104117,Electric Heating Appliances,3,,,
16104118,Household Appliance Accessories,3,,"HOUSING,EMPLOYMENT,CREDIT",
16104119,Washers & Dryers,3,,"HOUSING,EMPLOYMENT,CREDIT",
16105100,Cameras & Video Cameras,3,,"HOUSING,EMPLOYMENT,CREDIT","16105100100,16105100101,16105100102"
16105101,Speakers & Audio,3,,"HOUSING,EMPLOYMENT,CREDIT",
16105102,Drones,3,,"HOUSING,EMPLOYMENT,CREDIT",
17103100,Luxury Hotels,3,,,
17103101,Economy Hotels,3,,,
17103104,Villas,3,,,
17105105,Museum Exhibits,3,,,
17105107,Scenic Viewpoints,3,,,
17106100,Vacation Packages,3,,"HOUSING,EMPLOYMENT,CREDIT",
20100100,Chatting,3,,,
20100101,Marriage,3,,,
20100103,Messaging,3,,,
20101101,Music,3,,"HOUSING,EMPLOYMENT,CREDIT",
20101102,Audio players,3,,,
20102101,News,3,,,
20102102,E-books,3,,,
20103100,Image Editing,3,,"HOUSING,EMPLOYMENT,CREDIT",
20103101,Cameras,3,,"HOUSING,EMPLOYMENT,CREDIT",
20104100,Learning Tools,3,,,
20104101,Exam Preparation,3,,"HOUSING,EMPLOYMENT,CREDIT",
20104102,Foreign Language Learning,3,,,
20104103,Dictionaries & Translation Tools,3,,"HOUSING,EMPLOYMENT,CREDIT",
20105101,Group Buying & Discounts,3,,,
20105103,Express Deliveries,3,,,
20106100,Payment,3,,,
20106102,Money Management & Bookkeeping,3,,"HOUSING,EMPLOYMENT,CREDIT",
20106103,Investment,3,,,
20107102,Job Hunting,3,,"HOUSING,EMPLOYMENT,CREDIT",
20107103,Entertainment,3,,"HOUSING,EMPLOYMENT,CREDIT",
20107105,Car News,2,,,
20107107,Ride Sharing,3,,"HOUSING,EMPLOYMENT,CREDIT",
20108100,Maps & Navigation,3,,,
20108101,Bus & Metro,3,,,
20109100,Physical Fitness,3,,"HOUSING,EMPLOYMENT,CREDIT",
20109101,Medical Care,3,,,
